mac_address	vlan_id	count_rec	vendor_name
10:FE:ED:2D:EB:1E	999	2	Tp-link Technologies Co.,ltd.
D4:6E:0E:02:79:51	999	2	Tp-link Technologies Co.,ltd.
18:D6:C7:1B:E3:F6	999	2	Tp-link Technologies Co.,ltd.
B0:48:7A:B3:9A:47	999	2	Tp-link Technologies Co.,ltd.
B0:4E:26:0B:46:A6	999	2	Tp-link Technologies Co.,ltd.
A0:F3:C1:E8:BD:57	999	2	Tp-link Technologies Co.,ltd.
30:B5:C2:10:36:69	999	2	Tp-link Technologies Co.,ltd.
10:FE:ED:3B:E8:E2	999	1	Tp-link Technologies Co.,ltd.
50:3E:AA:46:45:D3	999	1	Tp-link Technologies Co.,ltd.
C4:6E:1F:10:E5:E1	999	1	Tp-link Technologies Co.,ltd.
D4:6E:0E:13:EF:CF	999	1	Tp-link Technologies Co.,ltd.
10:FE:ED:3F:74:99	999	1	Tp-link Technologies Co.,ltd.
D4:6E:0E:16:1F:89	999	1	Tp-link Technologies Co.,ltd.
10:FE:ED:21:14:3D	999	1	Tp-link Technologies Co.,ltd.
F4:EC:38:8C:B1:70	999	1	Tp-link Technologies Co.,ltd.
90:F6:52:F5:D2:9A	999	1	Tp-link Technologies Co.,ltd.
50:3E:AA:E7:88:E8	999	1	Tp-link Technologies Co.,ltd.
C0:25:E9:13:07:48	999	1	Tp-link Technologies Co.,ltd.
64:66:B3:8A:3E:0F	999	1	Tp-link Technologies Co.,ltd.
84:16:F9:0B:DD:49	999	1	Tp-link Technologies Co.,ltd.
50:3E:AA:6B:F1:56	999	1	Tp-link Technologies Co.,ltd.
